,Board Ref,Qty,Value,Device,Package,Description,Manufacturer,Part Number,Cost,Extended
,"C11, C12, C14, C21, C22, C24, C31, C32, C34, C41, C52, C62, C72, C74, C75, C82, C84, C85, C92, C94, C95",21,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",Kemet,C0603C104Z4VACTU,$0.01,$0.17
,"C13, C15, C16, C17, C18, C23, C25, C26, C27, C28, C33, C35, C36, C37, C38, C51, C53, C61, C63, C73, C83, C93",22,10uF,C-EUC0603,C0603,"CAPACITOR, European symbol",Murata,GRM188C80G106ME47D,$0.03,$0.66
,"C71, C81, C91",3,9.1pF,C-EUC0603,C0603,"CAPACITOR, European symbol",Kemet,CBR06C919B5GAC,$0.08,$0.25
,"C76, C77, C86, C87",4,220uF,CPOL-EUB/3528-21R,B/3528-21R,"POLARIZED CAPACITOR, European symbol",Vishay,TMCMA0G227MTRF,$0.27,$1.06
,"HP1, HP2, MIC1, MIC2, MIC3",5,1503_03,1503_03,1503_03,"Jack connectors according to JISC 6560, 3.5 mm",CUI,SJ1-3523N,$0.46,$2.29
,"IC1, IC2, IC3",3,ADAU1761BCPZ,ADAU1761,LFCSP32,Analog Devices ADAU1761 Audio Codec,Analog,ADAU1761BCPZ,$8.62,$25.86
,IC4,1,CAT24C256W,24C01ASN,SO-08,Serial EEPROM,ON,CAT24C256WI-GT3,$0.27,$0.27
,IC5,1,MAX8902BATA+,MAX8902B,8-TDFN-EP,Maxim Low-Noise 500mA LDO Regulator in a 2mm x 2mm TDFN Package,Maxim,MAX8902BATA+T,$2.08,$2.08
,IC6,1,MAX8902AATA+,MAX8902A,8-TDFN-EP,Maxim Integrated MAX8902A Low-Noise 500mA LDO Regulator,Maxim,MAX8902AATA+T,$2.09,$2.09
,IC7,1,SN74LVC1G332SMD,SN74LVC1G332SMD,SOT23-6L,3-Input OR-Gate SMD SOT23-6,Texas Instruments,SN74LVC1G332DBVR,$0.14,$0.14
,"JP11, JP21, JP31",3,,SJ,SJ,SMD solder JUMPER,DNP,DNP,$0.00,$0.00
,"JP12, JP22, JP32",3,,JP1X3,JP1X3,Jumper 1x3,DNP,DNP,$0.00,$0.00
,"L11, L21, L31",3,1.2nH,L-EUL0603,R0603,"INDUCTOR, European symbol",Bourns,CI160808-1N2D,$0.04,$0.12
,"R1, R2, R41, R42, R43, R44",6,5k6,R-EU_R0603,R0603,"RESISTOR, European symbol",Yaego,RC0603FR-105K6L,$0.01,$0.04
,"R11, R12, R21, R22, R31, R32, R52",7,49.9k,R-EU_R0603,R0603,"RESISTOR, European symbol",Yaego,AC0603FR-0749K9L,$0.01,$0.06
,"R13, R14, R23, R24, R33, R34",6,2k,R-EU_R0603,R0603,"RESISTOR, European symbol",Yaego,RC0603FR-102KL,$0.01,$0.04
,"R51, R53",2,33k,R-EU_R0603,R0603,"RESISTOR, European symbol",Yaego,C0603FR-0733KL,$0.01,$0.01
,S4,1,219-02,219-02,CTS-219-02,Surface Mount DIP Switch Series 219 SMT,CTS,219-2MST,$0.52,$0.52
,U$1,1,BEAGLEBONE,BEAGLEBONE,BEAGLEBONE,BeagleBoneBlack Cape,DNP,DNP,$0.00,$0.00
,"X1, X2",2,87832-10,87832-10,87832-10,Milli-Grid Header,Molex,87832-1014,$0.55,$1.10
,X3,1,87832-12,87832-12,87832-12,Milli-Grid Header,Molex,87832-1207,$1.71,$1.71
,"X4, X5",2,,JP1X2,JP1X2,Jumper 1x2,DNP,DNP,$0.00,$0.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Total,$38.46
